Species	Wet.area.cm2	Dry.area.cm2
Faramea occidentalis	31.7346	28.4695
Heisteria concinna	43.1992	39.7707
Heisteria concinna	75.9237	70.6294
Heisteria concinna	53.362	48.6331
Ocotea leucoxylon	84.6881	79.5336
Ocotea leucoxylon	50.8294	47.5297
Ocotea leucoxylon	71.8831	67.5932
Ocotea leucoxylon	66.0517	62.2977
Ocotea leucoxylon	56.5737	53.0317
Compsoneura excelsa	73.9155	69.1239
Compsoneura excelsa	39.8985	36.7891
Compsoneura excelsa	59.7255	54.5858
Compsoneura excelsa	61.7828	58.3007
Croton megistocarpus	30.1159	23.2617
Croton megistocarpus	53.116	41.0014
Croton megistocarpus	41.7758	32.5813
Croton megistocarpus	42.4206	32.6412
Lacmellea zamorae	65.1532	56.3903
Carapa guianensis	92.9637	81.6112
Carapa guianensis	126.0323	112.1285
Carapa guianensis	116.6884	103.668
Sorocea hispidula	78.1787	62.87
Sorocea hispidula	125.894	100.6874
Sorocea hispidula	34.8526	31.1309
Sorocea hispidula	81.4525	62.8043
Sorocea hispidula	78.6031	61.0541
Rinorea hummelii	34.9052	32.2847
Rinorea hummelii	27.3923	25.3572
Rinorea hummelii	30.0524	27.8901
Rinorea hummelii	24.242	22.3369
Rinorea hummelii	25.7012	24.3579
Mabea excelsa	102.328	82.0094
Vochysia megalophylla	191.8835	187.2254
Vochysia megalophylla	254.2945	165.1298
Dendropanax arboreus	79.4175	69.9433
Dendropanax arboreus	150.5012	130.9201
Dendropanax arboreus	86.9862	76.0639
Dendropanax arboreus	99.1814	87.6952
Macrolobium costaricense	4.965	4.9277
Macrolobium costaricense	13.4758	12.4003
Macrolobium costaricense	14.013	12.978
Macrolobium costaricense	13.7566	12.6251
Macrolobium costaricense	11.4981	10.5013
Protium sp1	140.9067	133.1984
Protium sp2	147.0878	138.4422
Protium sp3	176.631	172.4138
Protium sp4	122.6343	116.8906
Protium sp5	56.8723	53.5187
Compsoneura excelsa	81.8577	77.2892
Compsoneura excelsa	65.6644	62.812
Compsoneura excelsa	137.4617	132.1908
